unique_housing_id,geo,unique_id_in_geo,sample_geo,hhldtype,rhhldtype,hid,entity
0,1,1,1,1,2,1,household
1,1,2,1,1,2,1,household
2,1,3,1,1,2,1,household
3,1,4,1,1,2,1,household
4,1,5,1,1,1,2,household
5,1,6,1,1,1,2,household
6,1,7,1,1,1,2,household
7,1,8,1,1,1,2,household
8,1,9,1,1,1,2,household
9,1,10,1,1,1,2,household
10,1,11,1,1,1,2,household
11,1,12,1,1,1,2,household
12,1,13,1,1,1,2,household
13,1,14,1,1,1,2,household
14,1,15,1,1,1,2,household
15,1,16,1,1,1,2,household
16,1,17,1,1,1,2,household
17,1,18,1,1,1,2,household
18,1,19,1,1,1,2,household
19,1,20,1,1,1,2,household
20,1,21,1,1,1,2,household
21,1,22,1,1,1,2,household
22,1,23,1,1,1,2,household
23,1,24,1,1,1,2,household
24,1,25,1,1,1,2,household
25,1,26,1,1,1,2,household
26,1,27,1,1,1,2,household
27,1,28,1,1,1,2,household
28,1,29,1,1,1,2,household
29,1,30,1,1,1,2,household
30,1,31,1,1,1,2,household
31,1,32,1,1,1,2,household
32,1,33,1,1,1,2,household
33,1,34,1,1,1,2,household
34,1,35,1,1,1,2,household
35,1,36,1,1,1,2,household
36,1,37,1,1,1,2,household
37,1,38,1,1,1,2,household
38,1,39,1,1,2,3,household
39,1,40,1,1,2,3,household
40,1,41,1,1,2,3,household
41,1,42,1,1,2,3,household
42,1,43,1,1,2,3,household
43,1,44,1,1,2,3,household
44,1,45,1,1,2,3,household
45,1,46,1,2,1,4,household
46,1,47,1,2,1,4,household
47,1,48,1,2,1,4,household
48,1,49,1,2,1,4,household
49,1,50,1,2,1,4,household
50,1,51,1,2,1,4,household
51,1,52,1,2,1,4,household
52,1,53,1,2,2,5,household
53,1,54,1,2,2,5,household
54,1,55,1,2,2,5,household
55,1,56,1,2,2,5,household
56,1,57,1,2,2,5,household
57,1,58,1,2,2,5,household
58,1,59,1,2,2,5,household
59,1,60,1,2,2,5,household
