unique_person_id,geo,unique_id_in_geo,pid,sample_geo,ptype,hid,entity
0,1,1,1,1,1,1,person
1,1,1,2,1,2,1,person
2,1,1,3,1,3,1,person
3,1,2,1,1,1,1,person
4,1,2,2,1,2,1,person
5,1,2,3,1,3,1,person
6,1,3,1,1,1,1,person
7,1,3,2,1,2,1,person
8,1,3,3,1,3,1,person
9,1,4,1,1,1,1,person
10,1,4,2,1,2,1,person
11,1,4,3,1,3,1,person
12,1,5,1,1,1,2,person
13,1,5,2,1,3,2,person
14,1,6,1,1,1,2,person
15,1,6,2,1,3,2,person
16,1,7,1,1,1,2,person
17,1,7,2,1,3,2,person
18,1,8,1,1,1,2,person
19,1,8,2,1,3,2,person
20,1,9,1,1,1,2,person
21,1,9,2,1,3,2,person
22,1,10,1,1,1,2,person
23,1,10,2,1,3,2,person
24,1,11,1,1,1,2,person
25,1,11,2,1,3,2,person
26,1,12,1,1,1,2,person
27,1,12,2,1,3,2,person
28,1,13,1,1,1,2,person
29,1,13,2,1,3,2,person
30,1,14,1,1,1,2,person
31,1,14,2,1,3,2,person
32,1,15,1,1,1,2,person
33,1,15,2,1,3,2,person
34,1,16,1,1,1,2,person
35,1,16,2,1,3,2,person
36,1,17,1,1,1,2,person
37,1,17,2,1,3,2,person
38,1,18,1,1,1,2,person
39,1,18,2,1,3,2,person
40,1,19,1,1,1,2,person
41,1,19,2,1,3,2,person
42,1,20,1,1,1,2,person
43,1,20,2,1,3,2,person
44,1,21,1,1,1,2,person
45,1,21,2,1,3,2,person
46,1,22,1,1,1,2,person
47,1,22,2,1,3,2,person
48,1,23,1,1,1,2,person
49,1,23,2,1,3,2,person
50,1,24,1,1,1,2,person
51,1,24,2,1,3,2,person
52,1,25,1,1,1,2,person
53,1,25,2,1,3,2,person
54,1,26,1,1,1,2,person
55,1,26,2,1,3,2,person
56,1,27,1,1,1,2,person
57,1,27,2,1,3,2,person
58,1,28,1,1,1,2,person
59,1,28,2,1,3,2,person
60,1,29,1,1,1,2,person
61,1,29,2,1,3,2,person
62,1,30,1,1,1,2,person
63,1,30,2,1,3,2,person
64,1,31,1,1,1,2,person
65,1,31,2,1,3,2,person
66,1,32,1,1,1,2,person
67,1,32,2,1,3,2,person
68,1,33,1,1,1,2,person
69,1,33,2,1,3,2,person
70,1,34,1,1,1,2,person
71,1,34,2,1,3,2,person
72,1,35,1,1,1,2,person
73,1,35,2,1,3,2,person
74,1,36,1,1,1,2,person
75,1,36,2,1,3,2,person
76,1,37,1,1,1,2,person
77,1,37,2,1,3,2,person
78,1,38,1,1,1,2,person
79,1,38,2,1,3,2,person
80,1,39,1,1,1,3,person
81,1,39,2,1,1,3,person
82,1,39,3,1,2,3,person
83,1,40,1,1,1,3,person
84,1,40,2,1,1,3,person
85,1,40,3,1,2,3,person
86,1,41,1,1,1,3,person
87,1,41,2,1,1,3,person
88,1,41,3,1,2,3,person
89,1,42,1,1,1,3,person
90,1,42,2,1,1,3,person
91,1,42,3,1,2,3,person
92,1,43,1,1,1,3,person
93,1,43,2,1,1,3,person
94,1,43,3,1,2,3,person
95,1,44,1,1,1,3,person
96,1,44,2,1,1,3,person
97,1,44,3,1,2,3,person
98,1,45,1,1,1,3,person
99,1,45,2,1,1,3,person
100,1,45,3,1,2,3,person
101,1,46,1,1,1,4,person
102,1,46,2,1,3,4,person
103,1,46,3,1,3,4,person
104,1,47,1,1,1,4,person
105,1,47,2,1,3,4,person
106,1,47,3,1,3,4,person
107,1,48,1,1,1,4,person
108,1,48,2,1,3,4,person
109,1,48,3,1,3,4,person
110,1,49,1,1,1,4,person
111,1,49,2,1,3,4,person
112,1,49,3,1,3,4,person
113,1,50,1,1,1,4,person
114,1,50,2,1,3,4,person
115,1,50,3,1,3,4,person
116,1,51,1,1,1,4,person
117,1,51,2,1,3,4,person
118,1,51,3,1,3,4,person
119,1,52,1,1,1,4,person
120,1,52,2,1,3,4,person
121,1,52,3,1,3,4,person
122,1,53,1,1,2,5,person
123,1,53,2,1,2,5,person
124,1,53,3,1,3,5,person
125,1,54,1,1,2,5,person
126,1,54,2,1,2,5,person
127,1,54,3,1,3,5,person
128,1,55,1,1,2,5,person
129,1,55,2,1,2,5,person
130,1,55,3,1,3,5,person
131,1,56,1,1,2,5,person
132,1,56,2,1,2,5,person
133,1,56,3,1,3,5,person
134,1,57,1,1,2,5,person
135,1,57,2,1,2,5,person
136,1,57,3,1,3,5,person
137,1,58,1,1,2,5,person
138,1,58,2,1,2,5,person
139,1,58,3,1,3,5,person
140,1,59,1,1,2,5,person
141,1,59,2,1,2,5,person
142,1,59,3,1,3,5,person
143,1,60,1,1,2,5,person
144,1,60,2,1,2,5,person
145,1,60,3,1,3,5,person
146,1,61,1,1,2,5,person
147,1,61,2,1,2,5,person
148,1,61,3,1,3,5,person
