,average_percent_deviation
0712010101_0094,0.0
0712010101_0104,0.0
0712010101_0110,0.0
0712010101_0114,0.0
0712010101_0115,0.0
0712010101_0117,0.0
0712010101_0119,0.0
0712010101_0122,0.0
0712010101_0125,0.0
0712010101_0126,0.0
0712010101_0127,0.0
0712010101_0135,0.0
0712010101_0136,0.0
0712010101_0141,0.0
0712010101_0142,0.0
0712010101_0143,0.0
0712010101_0146,0.0
0712010101_0147,0.0
0712010101_0148,0.0
0712010101_0150,0.0
0712010101_0154,0.0
0712010101_0156,0.0
0712010101_0157,0.0
0712010101_0158,0.0
0712010101_0161,0.0
0712010101_0162,0.0
0712010101_0163,0.0
0712010101_0166,0.0
0712010101_0168,0.0
0712010101_0169,0.0
0712010101_0170,0.0
0712010101_0171,0.0
0712010101_0172,0.0
0712010101_0173,0.0
0712010101_0175,0.0
0712010101_0176,0.0
0712010101_0177,0.0
0712010101_0179,0.0
0712010101_0181,0.0
0712010101_0184,0.0
0712010101_0185,0.0
0712010101_0186,0.0
0712010101_0187,0.0
0712010101_0188,0.0
0712010101_0190,0.0
0712010101_0195,0.0
0712010101_0198,0.0
0712010101_0201,0.0
0712010101_0202,0.0
0712010101_0203,0.0
0712010101_0204,0.0
0712010101_0205,0.0
0712010101_0206,0.0
0712010101_0207,0.0
0712010101_0208,0.0
0712010101_0209,0.0
0712010101_0210,0.0
0712010101_0211,0.0
0712010101_0212,0.0
0712010101_0213,0.0
0712010101_0214,0.0
0712010101_0216,0.0
0712010101_0217,0.0
0712010101_0218,0.0
0712010101_0219,0.0
0712010101_0220,0.0
0712010101_0222,0.0
0712010101_0223,0.0
0712010101_0227,0.0
0712010101_0228,0.0
0712010101_0229,0.0
0712010101_0231,0.0
0712010101_0233,0.0
0712010101_0234,0.0
0712010101_0236,0.0
0712010101_0237,0.0
0712010101_0238,0.0
0712010101_0239,0.0
0712010101_0240,0.0
0712010101_0241,0.0
0712010101_0242,0.0
0712010101_0244,0.0
0712010101_0245,0.0
0712010101_0246,0.0
0712010101_0247,0.0
0712010101_0248,0.0
0712010101_0249,0.0
0712010101_0250,0.0
0712010101_0251,0.0
0712010101_0252,0.0
0712010101_0260,0.0
0712010101_0264,0.0
0712010101_0267,0.0
0712010101_0268,0.0
0712010101_0271,0.0
0712010101_0272,0.0
0712010101_0273,0.0
0712010101_0276,0.0
0712010101_0277,0.0
0712010101_0278,0.0
0712010101_0282,0.0
0712010101_0283,0.0
0712010101_0284,0.0
0712010101_0285,0.0
0712010101_0286,0.0
0712010101_0288,0.0
0712010101_0290,0.0
0712010101_0291,0.0
0712010101_0292,0.0
0712010101_0293,0.0
0712010101_0294,0.0
0712010101_0297,0.0
0712010101_0298,0.0
0712010101_0299,0.0
0712010101_0301,0.0
0712010101_0302,0.0
0712010101_0303,0.0
0712010101_0309,0.0
0712010101_0312,0.0
0712010101_0315,0.0
0712010101_0317,0.0
0712010101_0318,0.0
0712010101_0320,0.0
0712010101_0325,0.0
0712010101_0327,0.0
0712010101_0331,0.0
0712010101_0332,0.0
0712010101_0335,0.0
0712010101_0340,0.0
0712010101_0341,0.0
0712010101_0347,0.0
0712010101_0349,0.0
0712010101_0350,0.0
0712010101_0351,0.0
0712010101_0352,0.0
0712010101_0257,0.0
0712010101_0270,0.0
0712010101_0281,0.0
0712010101_0295,0.0
0712010101_0296,0.0
0712010101_0304,0.0
0712010101_0305,0.0
0712010101_0307,0.0
0712010101_0314,0.0
0712010101_0316,0.0
0712010101_0319,0.0
0712010101_0323,0.0
0712010101_0326,0.0
0712010101_0328,0.0
0712010101_0329,0.0
0712010101_0330,0.0
0712010101_0342,0.0
0712020101_0116,0.0
0712020101_0141,0.0
0712020101_0213,0.0
0712020101_0290,0.0
0712020101_0308,0.0
0712020101_0326,0.0
0712020101_0371,0.0
0712020101_0592,0.0
0712020101_0169,0.0
0712020101_0182,0.0
0712020101_0204,0.0
0712020101_0207,0.0
0712020101_0209,0.0
0712020101_0210,0.0
0712020101_0218,0.0
0712020101_0225,0.0
0712020101_0229,0.0
0712020101_0230,0.0
0712020101_0231,0.0
0712020101_0235,0.0
0712020101_0236,0.0
0712020101_0245,0.0
0712020101_0246,0.0
0712020101_0254,0.0
0712020101_0261,0.0
0712020101_0264,0.0
0712020101_0272,0.0
0712020101_0278,0.0
0712020101_0287,0.0
0712020101_0292,0.0
0712020101_0301,0.0
0712020101_0306,0.0
0712020101_0315,0.0
0712020101_0594,0.0
0712020101_0595,0.0
0712020101_0596,0.0
0712020101_0611,0.0
0712020101_0614,0.0
0712020101_0619,0.0
0712020101_0622,0.0
0712020101_0178,0.0
0712020101_0181,0.0
0712020101_0186,0.0
0712020101_0190,0.0
0712020101_0193,0.0
0712020101_0196,0.0
0712020101_0198,0.0
0712020101_0200,0.0
0712020101_0205,0.0
0712020101_0212,0.0
0712020101_0219,0.0
0712020101_0221,0.0
0712020101_0226,0.0
0712020101_0228,0.0
0712020101_0232,0.0
0712020101_0234,0.0
0712020101_0238,0.0
0712020101_0241,0.0
0712020101_0242,0.0
0712020101_0243,0.0
0712020101_0247,0.0
0712020101_0249,0.0
0712020101_0251,0.0
0712020101_0252,0.0
0712020101_0253,0.0
0712020101_0256,0.0
0712020101_0257,0.0
0712020101_0258,0.0
0712020101_0260,0.0
0712020101_0262,0.0
0712020101_0268,0.0
0712020101_0270,0.0
0712020101_0271,0.0
0712020101_0274,0.0
0712020101_0275,0.0
0712020101_0276,0.0
0712020101_0279,0.0
0712020101_0280,0.0
0712020101_0282,0.0
0712020101_0283,0.0
0712020101_0284,0.0
0712020101_0285,0.0
0712020101_0288,0.0
0712020101_0291,0.0
0712020101_0295,0.0
0712020101_0297,0.0
0712020101_0299,0.0
0712020101_0300,0.0
0712020101_0303,0.0
0712020101_0304,0.0
0712020101_0307,0.0
0712020101_0309,0.0
0712020101_0310,0.0
0712020101_0312,0.0
0712020101_0313,0.0
0712020101_0316,0.0
0712020101_0317,0.0
0712020101_0319,0.0
0712020101_0320,0.0
0712020101_0322,0.0
0712020101_0324,0.0
0712020101_0325,0.0
0712020101_0327,0.0
0712020101_0328,0.0
0712020101_0330,0.0
0712020101_0333,0.0
0712020101_0334,0.0
0712020101_0335,0.0
0712020101_0336,0.0
0712020101_0337,0.0
0712020101_0338,0.0
0712020101_0350,0.0
0712020101_0364,0.0
0712020101_0369,0.0
0712020101_0374,0.0
0712020101_0377,0.0
0712020101_0383,0.0
0712020101_0420,0.0
0712020101_0434,0.0
0712020101_0601,0.0
0712020101_0602,0.0
0712020101_0610,0.0
0712020101_0612,0.0
0712020101_0613,0.0
0712020101_0615,0.0
0712020101_0616,0.0
0712020101_0617,0.0
0712020101_0618,0.0
0712020101_0620,0.0
0712020101_0621,0.0
0712020101_0630,0.0
0712020101_0631,0.0
0712020101_0632,0.0
0712020101_0633,0.0
0712020101_0636,0.0
0712020101_0637,0.0
0712020101_0638,0.0
0712010101_0333,0.0
0712020101_0128,0.0
0712020101_0131,0.0
0712020101_0159,0.0
0712020101_0191,0.0
0712020101_0237,0.0
0712020101_0265,0.0
0712020101_0302,0.0
0712020101_0172,0.0
0712020101_0176,0.0
0712020101_0195,0.0
0712020101_0211,0.0
0712020101_0223,0.0
0712020101_0224,0.0
0712020101_0239,0.0
0712020101_0240,0.0
0712020101_0244,0.0
0712020101_0259,0.0
0712020101_0266,0.0
0712020101_0273,0.0
0712020101_0289,0.0
0712020101_0293,0.0
0712020101_0294,0.0
0712020101_0311,0.0
0712020101_0318,0.0
0712020101_0321,0.0
0712020101_0331,0.0
0712020101_0341,0.0
0712020101_0342,0.0
0712020101_0345,0.0
0712020101_0346,0.0
0712020101_0348,0.0
0712020101_0354,0.0
0712020101_0356,0.0
0712020101_0365,0.0
0712020101_0368,0.0
0712020101_0372,0.0
0712020101_0394,0.0
0712020101_0604,0.0
0712020101_0605,0.0
0712020101_0608,0.0
0712020101_0609,0.0
