,p_value,iterations,chi_sq_stat
0712010101_0094,,,
0712010101_0104,1.227128718342901e-27,4,146.17948717948718
0712010101_0110,0.05598460734737239,2,15.166666666666666
0712010101_0114,0.40160483732433805,18,8.333333333333332
0712010101_0115,2.8178236365372025e-07,18,45.611111111111114
0712010101_0117,0.0817654162447216,3,14.0
0712010101_0119,1.7019809725600535e-06,12,41.470588235294116
0712010101_0122,,,
0712010101_0125,,,
0712010101_0126,,,
0712010101_0127,1.5808753567972042e-10,0,62.38888888888889
0712010101_0135,7.373957172794585e-19,6,103.72727272727272
0712010101_0136,0.9927078334947887,7,1.5
0712010101_0141,8.846099817502596e-09,10,53.44444444444444
0712010101_0142,4.062658881367847e-05,18,34.0
0712010101_0143,0.00014637870885938144,0,30.9
0712010101_0146,1.5044371298110739e-09,23,57.4
0712010101_0147,0.0006142933223088502,17,27.352941176470587
0712010101_0148,1.1833469465964385e-08,0,52.791666666666664
0712010101_0150,1.1027566703320143e-08,19,52.95
0712010101_0154,3.1584551740706016e-07,16,45.35
0712010101_0156,4.535047780997714e-08,0,49.76470588235294
0712010101_0157,0.02243596375923201,9,17.84285714285714
0712010101_0158,9.945142406393274e-09,17,53.18181818181818
0712010101_0161,,,
0712010101_0162,,,
0712010101_0163,1.0546962032248423e-08,12,53.05
0712010101_0166,1.1027566703320143e-08,17,52.95
0712010101_0168,6.225545559202161e-08,14,49.047619047619044
0712010101_0169,9.066611384486812e-06,0,37.5625
0712010101_0170,1.1694536588997442e-08,17,52.81818181818181
0712010101_0171,,,
0712010101_0172,0.012199584671317203,2,19.545454545454543
0712010101_0173,,,
0712010101_0175,0.9810118431238462,14,2.0
0712010101_0176,0.07241885345670088,24,14.378461538461538
0712010101_0177,1.1615469914806541e-09,13,57.974999999999994
0712010101_0179,1.6632629146220066e-12,23,72.36
0712010101_0181,8.760907256440252e-46,0,232.5
0712010101_0184,0.7360016443852393,19,5.2
0712010101_0185,7.292958404973085e-16,11,89.03703703703702
0712010101_0186,3.534755632518333e-05,2,34.333333333333336
0712010101_0187,0.45826415765329687,16,7.75
0712010101_0188,1.2731557018602554e-06,24,42.142857142857146
0712010101_0190,,,
0712010101_0195,,,
0712010101_0198,,,
0712010101_0201,6.833817088979363e-18,3,99.0
0712010101_0202,0.00019750706757834296,3,30.16666666666667
0712010101_0203,0.003528493924036375,4,22.875
0712010101_0204,0.11972775187822172,2,12.777777777777779
0712010101_0205,5.677808566538147e-09,8,54.4375
0712010101_0206,4.791809745472616e-15,5,85.0
0712010101_0207,0.9974442184013349,24,1.1111111111111112
0712010101_0208,0.3318611658867306,3,9.125
0712010101_0209,0.003700491669162529,5,22.749999999999996
0712010101_0210,9.541723672174435e-10,4,58.41176470588235
0712010101_0211,3.333297437250997e-05,18,34.473684210526315
0712010101_0212,,,
0712010101_0213,1.6783822004405616e-14,9,82.30434782608697
0712010101_0214,0.9961229123838109,1,1.25
0712010101_0216,0.9519602002334955,20,2.696078431372549
0712010101_0217,0.00019750706757834307,0,30.166666666666668
0712010101_0218,0.003917612201007437,10,22.6
0712010101_0219,,,
0712010101_0220,,,
0712010101_0222,0.20169919870252867,17,11.0
0712010101_0223,0.003528493924036375,9,22.875
0712010101_0227,0.9932953648144601,1,1.4636363636363636
0712010101_0228,6.357782718599877e-08,10,49.0
0712010101_0229,0.00030388836447645156,11,29.105263157894736
0712010101_0231,4.185802590988945e-12,1,70.35
0712010101_0233,0.9953934206428257,21,1.3131313131313131
0712010101_0234,0.9321999600887996,8,3.034090909090909
0712010101_0236,4.062658881367847e-05,18,34.0
0712010101_0237,,,
0712010101_0238,0.015465298374750656,17,18.88888888888889
0712010101_0239,0.45826415765329687,19,7.75
0712010101_0240,0.536632667900785,22,7.0
0712010101_0241,0.6145757303862558,4,6.291855203619909
0712010101_0242,0.8991896500938398,10,3.5
0712010101_0244,0.14392110914131814,8,12.166666666666666
0712010101_0245,0.003528493924036375,2,22.875
0712010101_0246,0.0212264863029089,22,18.0
0712010101_0247,0.9462747496319246,22,2.8
0712010101_0248,,,
0712010101_0249,0.013031339358570688,14,19.363636363636367
0712010101_0250,0.054462817600976446,17,15.25
0712010101_0251,0.9999718524749461,11,0.3333333333333333
0712010101_0252,0.7360016443852393,14,5.2
0712010101_0260,1.5808753567972042e-10,1,62.38888888888889
0712010101_0264,2.235384008034206e-09,23,56.51851851851852
0712010101_0267,0.0036307405163916043,18,22.800000000000004
0712010101_0268,2.5106506262400273e-07,0,45.875
0712010101_0271,1.786202788478684e-11,3,67.17962962962963
0712010101_0272,0.5625257953461722,2,6.761904761904762
0712010101_0273,0.9982483774437092,9,1.0
0712010101_0276,0.9999788741032063,20,0.3095238095238095
0712010101_0277,,,
0712010101_0278,0.008842331020456251,24,20.425
0712010101_0282,4.133891457066494e-05,13,33.958333333333336
0712010101_0283,5.032201748487582e-08,14,49.529411764705884
0712010101_0284,0.9123390743781361,15,3.325
0712010101_0285,0.09375014160391426,17,13.567783094098884
0712010101_0286,0.9617309457103776,13,2.5
0712010101_0288,0.022996441068031104,3,17.772727272727273
0712010101_0290,,,
0712010101_0291,1.0421168449054123e-08,6,53.07692307692308
0712010101_0292,0.03960533142782345,22,16.2
0712010101_0293,,,
0712010101_0294,0.003630740516391618,14,22.799999999999997
0712010101_0297,0.536632667900785,6,7.0
0712010101_0298,0.0032588873702596903,22,23.083333333333332
0712010101_0299,0.0010972769025520664,13,25.88888888888889
0712010101_0301,3.1676557988277017e-06,18,40.02639296187683
0712010101_0302,4.062658881367847e-05,13,34.0
0712010101_0303,0.054462817600976446,1,15.25
0712010101_0309,1.4462751653663527e-09,18,57.48768472906404
0712010101_0312,1.3079782919730801e-11,10,67.86160714285714
0712010101_0315,1.9094477988306886e-07,7,46.5
0712010101_0317,2.444819545440381e-08,4,51.15948275862068
0712010101_0318,0.9950659715565766,21,1.3392857142857144
0712010101_0320,0.996388742639058,21,1.225
0712010101_0325,0.9997341888099782,24,0.6000000000000001
0712010101_0327,1.035463171578248e-14,7,83.34375
0712010101_0331,0.05914545983268386,21,15.000000000000002
0712010101_0332,0.3116553106942426,18,9.375
0712010101_0335,0.8258667279503714,11,4.333333333333333
0712010101_0340,0.9982483774437092,3,1.0
0712010101_0341,,,
0712010101_0347,0.999866630349486,3,0.5
0712010101_0349,0.06545975893329974,15,14.690058479532164
0712010101_0350,2.138600119938128e-10,22,61.72222222222222
0712010101_0351,4.062658881367847e-05,18,34.0
0712010101_0352,0.010575112688657141,19,19.9375
0712010101_0257,,,
0712010101_0270,0.054462817600976446,18,15.25
0712010101_0281,,,
0712010101_0295,,,
0712010101_0296,9.481017506993952e-15,4,83.53333333333333
0712010101_0304,0.18004807424925776,7,11.400000000000002
0712010101_0305,,,
0712010101_0307,0.0007515500885138909,18,26.84615384615385
0712010101_0314,0.003917612201007437,6,22.6
0712010101_0316,0.14825407575665214,19,12.066666666666668
0712010101_0319,,,
0712010101_0323,0.7925363299535328,8,4.666666666666666
0712010101_0326,,,
0712010101_0328,,,
0712010101_0329,,,
0712010101_0330,,,
0712010101_0342,0.9903615762002816,3,1.6285714285714283
0712020101_0116,1.4172539859654325e-06,3,41.89473684210526
0712020101_0141,,,
0712020101_0213,1.0,5,0.0
0712020101_0290,0.20981866496638715,16,10.858974358974361
0712020101_0308,5.872100721614462e-06,0,38.583333333333336
0712020101_0326,,,
0712020101_0371,5.312229266196914e-06,20,38.81818181818182
0712020101_0592,0.00015886377696107707,0,30.700000000000003
0712020101_0169,0.003917612201007437,24,22.6
0712020101_0182,0.9982483774437092,7,1.0
0712020101_0204,2.589226453301537e-10,10,61.3
0712020101_0207,1.7470884573161935e-18,10,101.8974358974359
0712020101_0209,0.8731437529320027,19,3.818181818181819
0712020101_0210,0.003917612201007437,7,22.6
0712020101_0218,1.0951491929840914e-11,9,68.25
0712020101_0225,4.354331564942828e-21,16,114.57692307692308
0712020101_0229,,,
0712020101_0230,6.70706141550747e-13,3,74.33333333333333
0712020101_0231,0.003016150795800142,22,23.285714285714285
0712020101_0235,0.4499178354244592,6,7.833333333333333
0712020101_0236,1.992094790968857e-16,2,91.8125
0712020101_0245,0.5011322806411571,8,7.333333333333333
0712020101_0246,0.0030724546980487365,0,23.23740053050398
0712020101_0254,1.1874966520529101e-14,19,83.04901960784315
0712020101_0261,8.879863420896748e-12,0,68.70833333333334
0712020101_0264,0.001886719158977135,6,24.5024154589372
0712020101_0272,3.671676919074884e-09,4,55.41176470588235
0712020101_0278,2.2632742370096808e-08,8,51.333333333333336
0712020101_0287,0.9982483774437092,11,1.0
0712020101_0292,0.45826415765329687,0,7.75
0712020101_0301,0.29011404682501907,20,9.654545454545456
0712020101_0306,0.000193710884011559,22,30.21428571428571
0712020101_0315,0.9997857051183011,23,0.5666666666666667
0712020101_0594,,,
0712020101_0595,0.9998801848640166,10,0.4861111111111111
0712020101_0596,2.1532160838940027e-07,22,46.225806451612904
0712020101_0611,0.8541035484752336,2,4.033333333333333
0712020101_0614,3.682564331292052e-05,11,34.23529411764706
0712020101_0619,0.9177032727534005,21,3.25
0712020101_0622,0.015303389071481736,17,18.918181818181818
0712020101_0178,1.6978160122678443e-11,15,67.29074074074074
0712020101_0181,9.283609847227955e-13,20,73.62749445676275
0712020101_0186,9.656956365781024e-05,19,31.912337662337663
0712020101_0190,7.950133832457456e-18,20,98.67826086956521
0712020101_0193,6.821246788662053e-11,13,64.23963133640554
0712020101_0196,3.923808536332413e-05,14,34.08333333333333
0712020101_0198,4.166716186891806e-11,3,65.32258064516128
0712020101_0200,6.119592471526711e-11,7,64.47826086956522
0712020101_0205,,,
0712020101_0212,0.9973286039815313,2,1.125
0712020101_0219,2.2378440385268878e-12,12,71.71428571428571
0712020101_0221,2.0058216820386505e-05,22,35.68421052631579
0712020101_0226,1.0197588646215085e-14,16,83.37662337662337
0712020101_0228,0.4479266929634721,24,7.853333333333332
0712020101_0232,9.204197022304174e-19,3,103.25714285714287
0712020101_0234,0.857123460498547,3,4.0
0712020101_0238,0.9961229123838109,17,1.25
0712020101_0241,9.962710449737588e-08,23,47.98095238095238
0712020101_0242,0.9810118431238462,0,2.0
0712020101_0243,,,
0712020101_0247,0.996641931146752,15,1.2000000000000002
0712020101_0249,0.45826415765329687,3,7.75
0712020101_0251,0.21329101843394052,8,10.8
0712020101_0252,0.981272746564977,3,1.9914529914529915
0712020101_0253,1.6632629146220066e-12,10,72.36
0712020101_0256,,,
0712020101_0257,,,
0712020101_0258,0.9996054085782492,18,0.6666666666666666
0712020101_0260,0.956904547307924,7,2.6
0712020101_0262,1.5259493017632677e-09,11,57.368421052631575
0712020101_0268,4.185802590988945e-12,2,70.35
0712020101_0270,0.5213009449471697,6,7.142857142857142
0712020101_0271,0.9999148821974406,2,0.4444444444444444
0712020101_0274,1.022564909648618e-09,9,58.258064516129025
0712020101_0275,9.713988817806522e-06,3,37.4
0712020101_0276,,,
0712020101_0279,0.26796256501440713,5,9.958333333333334
0712020101_0280,0.9857019015624955,5,1.8333333333333333
0712020101_0282,0.9996054085782492,3,0.6666666666666666
0712020101_0283,0.999866630349486,9,0.5
0712020101_0284,1.2099413031884613e-05,7,36.88181818181818
0712020101_0285,0.007147429634343745,12,21.0
0712020101_0288,0.9927078334947887,3,1.5
0712020101_0291,0.054462817600976446,5,15.25
0712020101_0295,0.45826415765329687,3,7.75
0712020101_0297,3.0084656110683005e-36,24,187.3015873015873
0712020101_0299,0.003016150795800142,20,23.285714285714285
0712020101_0300,1.9921375408941006e-08,23,51.62068965517241
0712020101_0303,0.18004807424925803,4,11.399999999999999
0712020101_0304,2.589226453301537e-10,14,61.3
0712020101_0307,0.9751017246937892,1,2.1769230769230767
0712020101_0309,0.01485964764583124,5,19.0
0712020101_0310,0.973190266667763,21,2.2285714285714286
0712020101_0312,0.01068551614349164,23,19.90909090909091
0712020101_0313,0.31981407828264397,14,9.272727272727273
0712020101_0316,0.9944028185883241,6,1.3888888888888888
0712020101_0317,1.6116634064405583e-08,12,52.09754385964912
0712020101_0319,0.580338197474811,1,6.6
0712020101_0320,1.2006251218399218e-09,19,57.90147783251231
0712020101_0322,0.531109975949386,24,7.051282051282051
0712020101_0324,0.44102011866164725,20,7.923076923076923
0712020101_0325,1.9417141286867647e-22,5,121.125
0712020101_0327,2.4228624719237066e-31,7,163.91780821917808
0712020101_0328,3.51940275734616e-10,21,60.62162162162162
0712020101_0330,,,
0712020101_0333,4.6138495580051925e-06,16,39.14814814814815
0712020101_0334,2.8315456981893956e-07,5,45.60000000000001
0712020101_0335,3.42427841922061e-11,9,65.75324675324674
0712020101_0336,0.0023388203337592474,6,23.947368421052634
0712020101_0337,7.613739090086303e-18,11,98.77020202020202
0712020101_0338,0.596453770188079,0,6.454545454545454
0712020101_0350,0.8258667279503714,20,4.333333333333333
0712020101_0364,7.176943106398865e-18,1,98.89583333333333
0712020101_0369,1.4611689683147255e-15,0,87.54838709677419
0712020101_0374,,,
0712020101_0377,1.9349255430322233e-09,4,56.84
0712020101_0383,0.906810566143766,23,3.4000000000000004
0712020101_0420,0.00016381088706074798,3,30.625
0712020101_0434,9.481017506993952e-15,0,83.53333333333333
0712020101_0601,0.0002053201220584971,7,30.07142857142857
0712020101_0602,,,
0712020101_0610,,,
0712020101_0612,0.21034412323095875,19,10.85
0712020101_0613,,,
0712020101_0615,0.999515106957396,14,0.7045454545454546
0712020101_0616,0.972372184949276,20,2.25
0712020101_0617,4.234157473143404e-06,7,39.348973607038126
0712020101_0618,0.9969603592880577,18,1.1666666666666665
0712020101_0620,1.2450202419752365e-05,3,36.81428571428572
0712020101_0621,4.508314823279455e-08,19,49.77807486631016
0712020101_0630,0.45547317823058775,9,7.777777777777778
0712020101_0631,3.2968065057216674e-05,7,34.5
0712020101_0632,0.9997341888099782,21,0.6000000000000001
0712020101_0633,0.5821798201857709,5,6.583333333333333
0712020101_0636,0.9982483774437092,1,1.0
0712020101_0637,0.9957206519418967,10,1.2857142857142856
0712020101_0638,0.009769409836631672,22,20.153846153846153
0712010101_0333,0.05598460734737239,14,15.166666666666666
0712020101_0128,0.13890403055311273,19,12.285714285714286
0712020101_0131,,,
0712020101_0159,2.589226453301537e-10,9,61.3
0712020101_0191,2.6011693046013576e-06,14,40.48531468531469
0712020101_0237,,,
0712020101_0265,,,
0712020101_0302,,,
0712020101_0172,1.4347519579545985e-19,11,107.19467787114846
0712020101_0176,3.856150497144982e-05,10,34.125
0712020101_0195,9.204270422052961e-41,18,208.734375
0712020101_0211,3.8590879013380014e-20,23,109.97154471544715
0712020101_0223,1.8898006259236333e-18,11,101.73076923076924
0712020101_0224,,,
0712020101_0239,3.2735288023170107e-15,5,85.81818181818181
0712020101_0240,3.720214200306443e-23,11,124.59649122807018
0712020101_0244,0.8789456058719581,1,3.75
0712020101_0259,0.003917612201007437,7,22.6
0712020101_0266,5.887924528735508e-08,11,49.173913043478265
0712020101_0273,,,
0712020101_0289,,,
0712020101_0293,0.015465298374750656,3,18.88888888888889
0712020101_0294,,,
0712020101_0311,,,
0712020101_0318,0.00010685227359286267,12,31.666666666666668
0712020101_0321,0.01522856801528245,18,18.931818181818183
0712020101_0331,0.40011591656722145,21,8.349282296650717
0712020101_0341,,,
0712020101_0342,0.9982483774437092,11,1.0
0712020101_0345,1.1035409042642446e-20,7,112.61528822055139
0712020101_0346,1.701980972560047e-06,9,41.47058823529412
0712020101_0348,0.016177887441472645,13,18.763333333333335
0712020101_0354,0.06710801423119576,13,14.613636363636365
0712020101_0356,0.0036307405163916043,2,22.800000000000004
0712020101_0365,,,
0712020101_0368,0.6979989760983757,20,5.545454545454545
