,average_percent_deviation
0712010101_0094,0.04167100629787631
0712010101_0104,0.07406571626581843
0712010101_0110,0.015145202960664765
0712010101_0114,0.06140716319821163
0712010101_0115,0.04167100629787631
0712010101_0117,5.786174946221513e-06
0712010101_0119,0.028460082844264326
0712010101_0122,0.012825853905078557
0712010101_0125,0.017234994565576613
0712010101_0126,0.16665509431677425
0712010101_0127,0.08332465407091405
0712010101_0135,0.029755085341432466
0712010101_0136,0.06410612482560793
0712010101_0141,0.03332638992339786
0712010101_0142,0.011910134781497701
0712010101_0143,5.786174946228092e-06
0712010101_0146,0.018512089435244957
0712010101_0147,5.786174946200228e-06
0712010101_0148,0.026320662042059947
0712010101_0150,0.08973468793598026
0712010101_0154,0.013507258189247353
0712010101_0156,0.05555941300551969
0712010101_0157,0.03704153739532851
0712010101_0158,0.03152465067483875
0712010101_0161,0.033326389923397905
0712010101_0162,5.786174946221513e-06
0712010101_0163,0.038465989365343206
0712010101_0166,0.018512089435244933
0712010101_0168,0.017735667078320732
0712010101_0169,0.055559413005519705
0712010101_0170,0.04284986880863906
0712010101_0171,0.10000231446997848
0712010101_0172,0.04023427456949942
0712010101_0173,
0712010101_0175,5.786174946213289e-06
0712010101_0176,0.04040842386990874
0712010101_0177,0.02330246839421898
0712010101_0179,0.010632142367078505
0712010101_0181,0.06434841520304486
0712010101_0184,0.018512089435244933
0712010101_0185,0.03787168666408117
0712010101_0186,0.0416594339479839
0712010101_0187,0.02380291103815671
0712010101_0188,0.052075738978716424
0712010101_0190,0.029416529791132184
0712010101_0195,0.011116511541060881
0712010101_0198,0.0061784113783432725
0712010101_0201,0.04443711528951258
0712010101_0202,0.012825853905078557
0712010101_0203,0.10606271012422286
0712010101_0204,0.009797795030449098
0712010101_0205,0.029919277545255012
0712010101_0206,0.017724094728428296
0712010101_0207,0.08558840048150536
0712010101_0208,0.07143187781425496
0712010101_0209,0.02380291103815671
0712010101_0210,0.02872884839259181
0712010101_0211,0.009253151630149371
0712010101_0212,0.023814483388049115
0712010101_0213,0.020318711445995296
0712010101_0214,0.10317680743172554
0712010101_0216,0.08904379082120782
0712010101_0217,0.018523661785137396
0712010101_0218,0.07143187781425497
0712010101_0219,0.08333622642080644
0712010101_0220,0.05302267579969208
0712010101_0222,0.05172812839651464
0712010101_0223,0.07471583605054503
0712010101_0227,0.03571883199460059
0712010101_0228,0.04053334691763446
0712010101_0229,0.01587825098368149
0712010101_0231,5.786174946228092e-06
0712010101_0233,0.09349847523127719
0712010101_0234,0.07723887713452397
0712010101_0236,0.021732589541365144
0712010101_0237,0.025245862384405376
0712010101_0238,0.05555941300551968
0712010101_0239,0.07778086373774909
0712010101_0240,0.011116511541060881
0712010101_0241,0.02688657335103016
0712010101_0242,0.018523661785137376
0712010101_0244,0.023814483388049115
0712010101_0245,0.06410612482560793
0712010101_0246,0.06410612482560792
0712010101_0247,0.018512089435244933
0712010101_0248,
0712010101_0249,0.03571883199460059
0712010101_0250,0.02632066204205997
0712010101_0251,0.11904927224046082
0712010101_0252,0.018512089435244933
0712010101_0260,0.04167100629787631
0712010101_0264,0.028978714780135584
0712010101_0267,0.06863085461271348
0712010101_0268,0.00505611588681653
0712010101_0271,0.01913080524776661
0712010101_0272,0.05555941300551968
0712010101_0273,0.10000231446997848
0712010101_0276,0.033337962273290285
0712010101_0277,
0712010101_0278,0.0432141625987256
0712010101_0282,5.786174946213289e-06
0712010101_0283,0.03175071579241676
0712010101_0284,0.09047883558473731
0712010101_0285,0.013894192882589593
0712010101_0286,0.018523661785137376
0712010101_0288,0.04839120309189729
0712010101_0290,
0712010101_0291,0.006660649044722599
0712010101_0292,0.033326389923397884
0712010101_0293,
0712010101_0294,0.00876583911409169
0712010101_0297,0.0438639126201358
0712010101_0298,0.08332465407091405
0712010101_0299,0.02033028379588771
0712010101_0301,0.01691341173207728
0712010101_0302,0.0213725657251668
0712010101_0303,0.07778086373774909
0712010101_0309,0.01563024372104499
0712010101_0312,0.018523661785137376
0712010101_0315,0.012814281555186163
0712010101_0317,0.0028305468612465426
0712010101_0318,0.05319542888506976
0712010101_0320,0.09047883558473731
0712010101_0325,0.04762318060115207
0712010101_0327,0.020553018016391218
0712010101_0331,0.04386391262013579
0712010101_0332,0.02632066204205997
0712010101_0335,0.08333622642080644
0712010101_0340,0.12964125574377527
0712010101_0341,0.08730434262299026
0712010101_0347,5.786174946213289e-06
0712010101_0349,0.022732269878362635
0712010101_0350,0.002341550170007621
0712010101_0351,0.04610347652371994
0712010101_0352,0.029919277545255012
0712010101_0257,0.08333407816428706
0712010101_0270,0.129629585611955
0712010101_0281,0.09259325466455147
0712010101_0295,0.007244822381777751
0712010101_0296,0.03333330362140297
0712010101_0304,1.4896619073982246e-06
0712010101_0305,0.03333452506285927
0712010101_0307,1.4896619074232756e-06
0712010101_0314,0.02174042579296298
0712010101_0316,0.03333330362140297
0712010101_0319,0.015152869389612814
0712010101_0323,0.055555522542299625
0712010101_0326,0.11111160766508023
0712010101_0328,
0712010101_0329,
0712010101_0330,0.0454556288450236
0712010101_0342,0.06060700857272897
0712020101_0116,0.008334748512145366
0712020101_0141,0.11904804466530688
0712020101_0213,0.05555654866349383
0712020101_0290,0.026882969823965385
0712020101_0308,1.489661907432765e-06
0712020101_0326,1.489661907432765e-06
0712020101_0371,0.003705160262013205
0712020101_0592,0.029411735576538884
0712020101_0169,0.01851766144160225
0712020101_0182,0.06989820044684207
