geo,sample_geo
0712010101_0094,402
0712010101_0104,402
0712010101_0110,402
0712010101_0114,402
0712010101_0115,402
0712010101_0117,402
0712010101_0119,402
0712010101_0122,402
0712010101_0125,402
0712010101_0126,402
0712010101_0127,402
0712010101_0135,402
0712010101_0136,402
0712010101_0141,402
0712010101_0142,402
0712010101_0143,402
0712010101_0146,402
0712010101_0147,402
0712010101_0148,402
0712010101_0150,402
0712010101_0154,402
0712010101_0156,402
0712010101_0157,402
0712010101_0158,402
0712010101_0161,402
0712010101_0162,402
0712010101_0163,402
0712010101_0166,402
0712010101_0168,402
0712010101_0169,402
0712010101_0170,402
0712010101_0171,402
0712010101_0172,402
0712010101_0173,402
0712010101_0175,402
0712010101_0176,402
0712010101_0177,402
0712010101_0179,402
0712010101_0181,402
0712010101_0184,402
0712010101_0185,402
0712010101_0186,402
0712010101_0187,402
0712010101_0188,402
0712010101_0190,402
0712010101_0195,402
0712010101_0198,402
0712010101_0201,402
0712010101_0202,402
0712010101_0203,402
0712010101_0204,402
0712010101_0205,402
0712010101_0206,402
0712010101_0207,402
0712010101_0208,402
0712010101_0209,402
0712010101_0210,402
0712010101_0211,402
0712010101_0212,402
0712010101_0213,402
0712010101_0214,402
0712010101_0216,402
0712010101_0217,402
0712010101_0218,402
0712010101_0219,402
0712010101_0220,402
0712010101_0222,402
0712010101_0223,402
0712010101_0227,402
0712010101_0228,402
0712010101_0229,402
0712010101_0231,402
0712010101_0233,402
0712010101_0234,402
0712010101_0236,402
0712010101_0237,402
0712010101_0238,402
0712010101_0239,402
0712010101_0240,402
0712010101_0241,402
0712010101_0242,402
0712010101_0244,402
0712010101_0245,402
0712010101_0246,402
0712010101_0247,402
0712010101_0248,402
0712010101_0249,402
0712010101_0250,402
0712010101_0251,402
0712010101_0252,402
0712010101_0257,404
0712010101_0260,402
0712010101_0264,402
0712010101_0267,402
0712010101_0268,402
0712010101_0270,404
0712010101_0271,402
0712010101_0272,402
0712010101_0273,402
0712010101_0276,402
0712010101_0277,402
0712010101_0278,402
0712010101_0281,404
0712010101_0282,402
0712010101_0283,402
0712010101_0284,402
0712010101_0285,402
0712010101_0286,402
0712010101_0288,402
0712010101_0290,402
0712010101_0291,402
0712010101_0292,402
0712010101_0293,402
0712010101_0294,402
0712010101_0295,404
0712010101_0296,404
0712010101_0297,402
0712010101_0298,402
0712010101_0299,402
0712010101_0301,402
0712010101_0302,402
0712010101_0303,402
0712010101_0304,404
0712010101_0305,404
0712010101_0307,404
0712010101_0309,402
0712010101_0312,402
0712010101_0314,404
0712010101_0315,402
0712010101_0316,404
0712010101_0317,402
0712010101_0318,402
0712010101_0319,404
0712010101_0320,402
0712010101_0323,404
0712010101_0325,402
0712010101_0326,404
0712010101_0327,402
0712010101_0328,404
0712010101_0329,404
0712010101_0330,404
0712010101_0331,402
0712010101_0332,402
0712010101_0333,482
0712010101_0335,402
0712010101_0340,402
0712010101_0341,402
0712010101_0342,404
0712010101_0347,402
0712010101_0349,402
0712010101_0350,402
0712010101_0351,402
0712010101_0352,402
0712020101_0116,404
0712020101_0128,482
0712020101_0131,482
0712020101_0141,404
0712020101_0159,482
0712020101_0169,406
0712020101_0172,483
0712020101_0176,483
0712020101_0178,407
0712020101_0181,407
0712020101_0182,406
0712020101_0186,407
0712020101_0190,407
0712020101_0191,482
0712020101_0193,407
0712020101_0195,483
0712020101_0196,407
0712020101_0198,407
0712020101_0200,407
0712020101_0204,406
0712020101_0205,407
0712020101_0207,406
0712020101_0209,406
0712020101_0210,406
0712020101_0211,483
0712020101_0212,407
0712020101_0213,404
0712020101_0218,406
0712020101_0219,407
0712020101_0221,407
0712020101_0223,483
0712020101_0224,483
0712020101_0225,406
0712020101_0226,407
0712020101_0228,407
0712020101_0229,406
0712020101_0230,406
0712020101_0231,406
0712020101_0232,407
0712020101_0234,407
0712020101_0235,406
0712020101_0236,406
0712020101_0237,482
0712020101_0238,407
0712020101_0239,483
0712020101_0240,483
0712020101_0241,407
0712020101_0242,407
0712020101_0243,407
0712020101_0244,483
0712020101_0245,406
0712020101_0246,406
0712020101_0247,407
0712020101_0249,407
0712020101_0251,407
0712020101_0252,407
0712020101_0253,407
0712020101_0254,406
0712020101_0256,407
0712020101_0257,407
0712020101_0258,407
0712020101_0259,483
0712020101_0260,407
0712020101_0261,406
0712020101_0262,407
0712020101_0264,406
0712020101_0265,482
0712020101_0266,483
0712020101_0268,407
0712020101_0270,407
0712020101_0271,407
0712020101_0272,406
0712020101_0273,483
0712020101_0274,407
0712020101_0275,407
0712020101_0276,407
0712020101_0278,406
0712020101_0279,407
0712020101_0280,407
0712020101_0282,407
0712020101_0283,407
0712020101_0284,407
0712020101_0285,407
0712020101_0287,406
0712020101_0288,407
0712020101_0289,483
0712020101_0290,404
0712020101_0291,407
0712020101_0292,406
0712020101_0293,483
0712020101_0294,483
0712020101_0295,407
0712020101_0297,407
0712020101_0299,407
0712020101_0300,407
0712020101_0301,406
0712020101_0302,482
0712020101_0303,407
0712020101_0304,407
0712020101_0306,406
0712020101_0307,407
0712020101_0308,404
0712020101_0309,407
0712020101_0310,407
0712020101_0311,483
0712020101_0312,407
0712020101_0313,407
0712020101_0315,406
0712020101_0316,407
0712020101_0317,407
0712020101_0318,483
0712020101_0319,407
0712020101_0320,407
0712020101_0321,483
0712020101_0322,407
0712020101_0324,407
0712020101_0325,407
0712020101_0326,404
0712020101_0327,407
0712020101_0328,407
0712020101_0330,407
0712020101_0331,483
0712020101_0333,407
0712020101_0334,407
0712020101_0335,407
0712020101_0336,407
0712020101_0337,407
0712020101_0338,407
0712020101_0341,483
0712020101_0342,483
0712020101_0345,483
0712020101_0346,483
0712020101_0348,483
0712020101_0350,407
0712020101_0354,483
0712020101_0356,483
0712020101_0364,407
0712020101_0365,483
0712020101_0368,483
0712020101_0369,407
0712020101_0371,404
0712020101_0372,483
0712020101_0374,407
0712020101_0377,407
0712020101_0383,407
0712020101_0394,483
0712020101_0420,407
0712020101_0434,407
0712020101_0592,404
0712020101_0594,406
0712020101_0595,406
0712020101_0596,406
0712020101_0601,407
0712020101_0602,407
0712020101_0604,483
0712020101_0605,483
0712020101_0608,483
0712020101_0609,483
0712020101_0610,407
0712020101_0611,406
0712020101_0612,407
0712020101_0613,407
0712020101_0614,406
0712020101_0615,407
0712020101_0616,407
0712020101_0617,407
0712020101_0618,407
0712020101_0619,406
0712020101_0620,407
0712020101_0621,407
0712020101_0622,406
0712020101_0630,407
0712020101_0631,407
0712020101_0632,407
0712020101_0633,407
0712020101_0636,407
0712020101_0637,407
0712020101_0638,407
