hid,pid,geo,sample_geo,age,gender,education,employment
151,1,0712010101_0094,402,3,2,4,1
1510,1,0712010101_0094,402,4,2,4,4
1510,2,0712010101_0094,402,2,1,4,1
1526,1,0712010101_0094,402,2,2,3,1
1530,1,0712010101_0094,402,3,2,4,1
1530,2,0712010101_0094,402,3,2,4,1
1540,1,0712010101_0094,402,3,2,3,1
1543,1,0712010101_0094,402,4,1,3,4
1545,1,0712010101_0094,402,3,1,3,4
1561,1,0712010101_0094,402,2,2,3,1
1562,1,0712010101_0094,402,4,1,2,4
1563,1,0712010101_0094,402,3,2,3,5
1566,1,0712010101_0094,402,4,1,3,4
1570,1,0712010101_0094,402,4,2,2,4
1571,1,0712010101_0094,402,2,2,3,1
1574,1,0712010101_0094,402,2,1,3,1
1575,1,0712010101_0094,402,2,2,3,5
1576,1,0712010101_0094,402,3,2,3,5
1577,1,0712010101_0094,402,3,2,4,2
1585,1,0712010101_0094,402,2,2,4,5
1599,1,0712010101_0094,402,1,1,3,3
15106,1,0712010101_0094,402,3,2,1,5
15108,1,0712010101_0094,402,3,1,3,4
15110,1,0712010101_0094,402,3,2,4,1
15112,1,0712010101_0094,402,2,2,4,1
1523,1,0712010101_0257,404,4,1,2,4
1528,1,0712010101_0257,404,3,1,2,4
1558,1,0712010101_0257,404,3,2,3,5
1558,2,0712010101_0257,404,3,1,4,1
109,1,0712020101_0169,406,2,1,5,1
1010,1,0712020101_0169,406,3,1,2,1
1017,1,0712020101_0169,406,1,2,3,3
1018,1,0712020101_0169,406,1,1,3,3
1020,1,0712020101_0169,406,1,1,3,3
1035,1,0712020101_0169,406,2,1,4,1
1036,1,0712020101_0169,406,4,1,3,4
1058,1,0712020101_0169,406,2,2,3,1
1087,1,0712020101_0169,406,1,1,3,3
1087,2,0712020101_0169,406,1,1,3,3
10101,1,0712020101_0169,406,3,2,4,6
10111,1,0712020101_0169,406,3,2,3,4
10123,1,0712020101_0169,406,4,1,3,4
10142,1,0712020101_0169,406,2,1,4,2
10143,1,0712020101_0169,406,2,2,3,1
10150,1,0712020101_0169,406,2,1,4,1
10151,1,0712020101_0169,406,2,2,4,1
10162,1,0712020101_0169,406,3,1,4,1
10181,1,0712020101_0169,406,1,1,4,3
10193,1,0712020101_0169,406,2,1,5,1
10212,1,0712020101_0169,406,2,1,4,1
10214,1,0712020101_0169,406,2,2,5,1
103,1,0712020101_0178,407,2,1,4,1
103,2,0712020101_0178,407,2,2,5,1
104,1,0712020101_0178,407,2,1,4,3
107,1,0712020101_0178,407,3,2,1,4
108,1,0712020101_0178,407,1,1,3,1
108,2,0712020101_0178,407,3,2,3,5
1011,1,0712020101_0178,407,2,1,3,1
1011,2,0712020101_0178,407,2,2,4,1
1013,1,0712020101_0178,407,2,1,3,3
1014,1,0712020101_0178,407,4,1,1,4
1014,2,0712020101_0178,407,3,1,4,1
1014,3,0712020101_0178,407,3,2,4,1
1019,1,0712020101_0178,407,1,1,3,3
1021,1,0712020101_0178,407,1,1,3,3
1022,1,0712020101_0178,407,2,2,4,1
1022,2,0712020101_0178,407,2,1,5,1
