region,geo
1,0712010101_0094
1,0712010101_0104
1,0712010101_0110
1,0712010101_0114
1,0712010101_0115
1,0712010101_0117
1,0712010101_0119
1,0712010101_0122
1,0712010101_0125
1,0712010101_0126
1,0712010101_0127
1,0712010101_0135
1,0712010101_0136
1,0712010101_0141
1,0712010101_0142
1,0712010101_0143
1,0712010101_0146
1,0712010101_0147
1,0712010101_0148
1,0712010101_0150
1,0712010101_0154
1,0712010101_0156
1,0712010101_0157
1,0712010101_0158
1,0712010101_0161
1,0712010101_0162
1,0712010101_0163
1,0712010101_0166
1,0712010101_0168
1,0712010101_0169
1,0712010101_0170
1,0712010101_0171
1,0712010101_0172
1,0712010101_0173
1,0712010101_0175
1,0712010101_0176
1,0712010101_0177
1,0712010101_0179
1,0712010101_0181
1,0712010101_0184
1,0712010101_0185
1,0712010101_0186
1,0712010101_0187
1,0712010101_0188
1,0712010101_0190
1,0712010101_0195
1,0712010101_0198
1,0712010101_0201
1,0712010101_0202
1,0712010101_0203
1,0712010101_0204
1,0712010101_0205
1,0712010101_0206
1,0712010101_0207
1,0712010101_0208
1,0712010101_0209
1,0712010101_0210
1,0712010101_0211
1,0712010101_0212
1,0712010101_0213
1,0712010101_0214
1,0712010101_0216
1,0712010101_0217
1,0712010101_0218
1,0712010101_0219
1,0712010101_0220
1,0712010101_0222
1,0712010101_0223
1,0712010101_0227
1,0712010101_0228
1,0712010101_0229
1,0712010101_0231
1,0712010101_0233
1,0712010101_0234
1,0712010101_0236
1,0712010101_0237
1,0712010101_0238
1,0712010101_0239
1,0712010101_0240
1,0712010101_0241
1,0712010101_0242
1,0712010101_0244
1,0712010101_0245
1,0712010101_0246
1,0712010101_0247
1,0712010101_0248
1,0712010101_0249
1,0712010101_0250
1,0712010101_0251
1,0712010101_0252
1,0712010101_0260
1,0712010101_0264
1,0712010101_0267
1,0712010101_0268
1,0712010101_0271
1,0712010101_0272
1,0712010101_0273
1,0712010101_0276
1,0712010101_0277
1,0712010101_0278
1,0712010101_0282
1,0712010101_0283
1,0712010101_0284
1,0712010101_0285
1,0712010101_0286
1,0712010101_0288
1,0712010101_0290
1,0712010101_0291
1,0712010101_0292
1,0712010101_0293
1,0712010101_0294
1,0712010101_0297
1,0712010101_0298
1,0712010101_0299
1,0712010101_0301
1,0712010101_0302
1,0712010101_0303
1,0712010101_0309
1,0712010101_0312
1,0712010101_0315
1,0712010101_0317
1,0712010101_0318
1,0712010101_0320
1,0712010101_0325
1,0712010101_0327
1,0712010101_0331
1,0712010101_0332
1,0712010101_0335
1,0712010101_0340
1,0712010101_0341
1,0712010101_0347
1,0712010101_0349
1,0712010101_0350
1,0712010101_0351
1,0712010101_0352
1,0712010101_0257
1,0712010101_0270
1,0712010101_0281
1,0712010101_0295
1,0712010101_0296
1,0712010101_0304
1,0712010101_0305
1,0712010101_0307
1,0712010101_0314
1,0712010101_0316
1,0712010101_0319
1,0712010101_0323
1,0712010101_0326
1,0712010101_0328
1,0712010101_0329
1,0712010101_0330
1,0712010101_0342
1,0712020101_0116
