variable_names,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype
variable_categories,1,2,3,4,5,6,7,8
geo,,,,,,,,
1,2107,2840,1166,821,376,93,35,7
2,1717,2675,1068,997,388,155,30,15
3,1759,1765,823,591,255,106,49,6
4,1628,1514,584,458,191,56,13,9
5,1294,1706,704,540,296,77,17,35
6,1147,1636,826,585,329,82,39,12
7,1610,2255,920,673,271,80,37,10
8,1080,1643,559,465,196,78,14,25
9,1312,1893,928,653,294,156,35,25
10,1154,1462,593,441,166,62,7,7
11,1817,2243,1000,655,327,84,24,18
12,1228,1592,725,527,265,89,16,16
13,2021,2816,1422,1205,348,103,27,18
14,1545,1141,621,293,186,35,17,10
15,1868,1405,563,371,141,36,34,10
16,2002,2452,979,847,413,93,22,16
17,1738,2311,1290,857,333,155,31,14
18,1138,1502,721,590,219,50,33,11
19,1306,1647,771,587,250,56,29,9
20,797,1434,615,542,264,90,30,16
21,1473,1469,672,387,159,38,7,10
22,1715,1559,607,492,207,77,24,19
23,1447,1930,805,557,208,65,17,28
24,1810,1952,997,804,306,112,21,17
25,2700,2422,1191,828,374,147,37,51
26,1733,2489,1099,849,355,144,44,17
27,1695,1871,695,484,163,64,26,3
28,1299,1651,769,547,212,117,10,16
29,1846,1865,867,594,227,92,12,12
30,2275,2753,1143,791,368,130,33,16
31,2506,3139,1131,724,384,155,22,28
32,1600,1236,624,328,154,88,33,6
33,1827,1436,639,387,168,74,16,9
34,1513,2457,1261,1035,416,231,51,24
35,1379,1477,646,648,362,119,37,84
36,1518,2010,1049,636,448,124,59,52
37,1380,1907,759,642,341,149,64,39
38,1675,2067,964,824,340,175,38,73
39,823,892,474,375,270,175,85,136
40,687,1384,840,951,503,209,89,64
41,1433,2531,855,765,426,121,68,61
42,1376,1815,765,635,355,189,80,64
43,1256,1327,672,424,294,128,82,32
44,1381,1609,513,469,235,92,41,34
45,835,1514,832,802,372,160,56,27
46,1215,1346,738,528,289,97,34,28
47,1027,1606,540,738,263,82,35,14
48,1051,1605,772,550,170,87,27,18
49,1676,1560,657,428,147,97,7,8
