variable_names,psextype,psextype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pedutype,pedutype,pedutype,pedutype,pedutype
variable_categories,1,2,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,,,,,,,,,,,
1,9010,9587,2265,1658,1808,2234,2112,2423,2534,2041,1519,15600,1991,92,120,11,288,493,6174,5287,4467,1686,982
2,9571,9827,2519,1934,1493,2606,2582,2975,2561,1674,1050,14907,3279,345,163,15,499,188,6290,4145,4683,2745,1534
3,6342,6571,1599,1188,1451,1906,1583,1766,1747,982,688,7173,4602,444,46,4,445,197,3574,1838,3240,2591,1668
4,4937,5240,1336,751,992,1492,1161,1202,1357,983,900,7256,2057,228,26,4,291,314,2912,1695,2399,1995,1175
5,6047,6271,1677,1170,997,1418,1530,1627,1690,1339,867,10894,292,34,165,73,280,578,4868,3577,2763,730,380
6,6300,6470,1921,1269,1000,1474,1601,1704,1699,1246,850,11779,401,125,86,4,222,150,4726,2822,2931,1387,902
7,7440,7769,2096,1352,1199,1834,1864,2147,2094,1539,1082,12080,1862,77,237,12,438,501,5477,4115,3496,1439,682
8,5257,5415,1298,1066,823,1279,1263,1439,1479,1201,820,10191,112,55,33,1,222,56,4000,2790,2775,680,425
9,7277,7319,1955,1388,1085,1827,1848,2059,1957,1475,999,13230,940,92,43,4,184,101,5213,3989,3807,1048,538
10,4941,5332,1293,930,863,1198,1271,1387,1396,1133,799,8163,1659,83,57,2,153,153,3502,2578,2847,876,469
11,7614,8089,1977,1361,1290,1802,1852,2146,2264,1790,1217,11790,3447,47,59,6,237,113,5785,4408,3911,1013,584
12,5539,5942,1471,1021,1071,1514,1377,1452,1605,1170,797,8459,2396,117,36,2,283,186,3893,2944,3076,945,622
13,10338,10998,2950,2109,1720,2635,3024,2971,2733,1977,1214,17212,2592,427,63,6,435,599,6335,3563,5114,4176,2146
14,4230,5014,1256,717,949,1262,999,1108,1379,938,633,630,8244,20,23,0,151,175,3029,2521,2747,682,263
15,4977,5491,1333,664,1116,1975,1305,1155,1387,852,677,4072,5858,137,45,1,129,224,3245,2297,2525,1512,888
16,8164,9091,2638,1584,1468,2728,2343,2093,1907,1397,1093,13077,2881,595,35,10,326,329,4835,1762,3349,4303,3004
17,8392,9343,2759,1703,1351,2172,2187,2353,2435,1667,1103,10594,6370,147,44,19,321,238,5692,4220,4945,1919,959
18,5422,5825,1355,1071,995,1390,1556,1439,1596,1093,748,5824,4929,142,19,2,167,160,3426,2862,2976,1330,651
19,5749,5967,1486,1069,921,1346,1373,1548,1629,1353,987,10506,851,36,15,0,193,114,4215,3311,3172,687,330
20,5294,5658,1506,1003,968,1504,1459,1466,1483,1031,531,8288,2335,78,15,0,122,113,3606,2763,2539,1287,756
21,5650,6133,1418,830,2657,1821,1253,1147,1184,804,665,6129,5134,245,28,3,135,106,3193,2725,3527,1420,916
22,6056,6547,1728,1087,1253,1498,1423,1549,1782,1331,949,5020,7409,54,11,0,83,23,4527,3726,3012,843,493
23,6270,6645,1703,1095,1025,1567,1497,1707,1878,1458,982,9154,3234,69,19,0,197,240,4757,4051,2746,924,436
24,7922,8166,2066,1359,2959,2297,1952,1873,1696,1181,700,11329,3674,690,30,0,323,39,4395,2935,4920,2241,1594
25,9251,10456,2994,1753,2102,2922,2499,2309,2354,1608,1162,6715,11702,595,37,2,395,257,6779,4085,4480,2565,1796
26,8599,9070,2283,1679,1424,2353,2290,2492,2389,1658,1098,12021,4953,136,42,7,291,217,5918,4615,4101,1942,1091
27,6564,6926,1706,1279,1120,1528,1561,1765,1921,1524,1083,7474,5458,40,269,5,218,24,4834,4554,2883,787,431
28,5927,6334,1662,1135,946,1489,1479,1579,1681,1309,977,9091,2583,104,71,0,322,88,4335,3359,2928,1108,528
