variable_names,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype,rhhinctype
variable_categories,1,2,3,4,5,6,7,8,9,10,11
region,,,,,,,,,,,
1,617188,329633,156833,25343,3623,716,136,56,15,1,4
2,375645,157614,66785,12211,2025,399,129,30,9,0,4
3,815582,329366,139211,27417,4583,796,239,48,16,1,8
4,419769,179031,82311,17255,2951,546,135,17,18,5,8
5,1171665,528782,213606,41555,6519,1131,372,49,8,8,9
6,426535,184263,71570,14193,2383,466,136,36,1,3,7
7,849625,440566,201690,45510,8034,1478,281,96,30,7,5
8,1207500,576405,257941,54144,9642,2053,626,147,38,29,20
9,1019030,588847,286702,68284,14368,3314,920,304,89,37,48
