variable_names,psextype,psextype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pedutype,pedutype,pedutype,pedutype,pedutype
variable_categories,1,2,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,1,2,3,4,5
region,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,
